,id,tweets
43,1052990000000000000.00,"RT @kbloblak: iPhone*Novos garantia 1 ano Apple 
*Xs 64gb* - R$5150
*Xs 256gb* - R$5850
*Xs 512gb* - R$6700,00
*Xs Max 64gb* - R$5700,00
*X…"
44,1052990000000000000.00,"How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today,… https://t.co/SaDyvfeMxH"
45,1052990000000000000.00,RT @Coupondipity: The new @Google Pixel 3 phone from @BestBuy has an amazing camera &amp; unlimited free storage! Take all the pics you want wi…
46,1052990000000000000.00,@JohnLegere Why can't I just get a pixel 3 xl through TMobile? Not looking like I'm going to be able to through oth… https://t.co/zfeP2GVcbh
47,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
48,1052990000000000000.00,"Can i just get a phone with the note 9's display, size and battery, pixel 3's camera, lg's wide angle camera and he… https://t.co/66Q6dXoYY5"
49,1052990000000000000.00,"Google Pixel 3 launched today with a BOGO! At least one new line required! 
Come see me at Verizon Rosewood!!"
50,1052990000000000000.00,"RT @PoeticCases: Ok Google fans, you can enter for a chance to win a #Google #Pixel3XL (Just Black, 128 GB, Unlocked) and a Poetic Google P…"
51,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
52,1052990000000000000.00,"But *certain* publications just said it was ""the best Android phone you can buy""?!
Could they have LIED?!

😱"
53,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
54,1052990000000000000.00,RT @M5B1tch: @cpicciolini .@conspirator0 did a thread on them https://t.co/bX193J1YRn
55,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
56,1052990000000000000.00,"RT @raywongy: Which phone wears the notch best? iPhone XS Max, Pixel 3 XL, OnePlus 6, Essential Phone, or Vivo V11? https://t.co/O8WEyoAVSO"
57,1052990000000000000.00,It's honestly abysmal
58,1052990000000000000.00,@_STD_ I've only bought phones on subsidy a few times. Comparing Samsung and Pixel prices with the phones I had a h… https://t.co/yXCvpcsTZA
59,1052990000000000000.00,"@madebygoogle @google I just got my Pixel 3 XL and I love it, but my Bluetooth @jaybirdsport earbuds have bad stati… https://t.co/iR8Q4CVUYX"
60,1052990000000000000.00,I liked a @YouTube video https://t.co/3wNNJeadYI Unboxing the Google Pixel 3 with Stars
61,1052990000000000000.00,LMAOO at the amount of people sending me the Pixel 3 commercial 😭😂
62,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
63,1052990000000000000.00,"RT @havingfunsaving: #ad The new @google Pixel 3 phone from @bestbuy camera has ""groupie-cam"" and you'll never get that annoying ""storage f…"
64,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
65,1052990000000000000.00,RT @xdadevelopers: Google Pixel 3 and Pixel 3 XL factory images and kernel sources are going live https://t.co/RnsFWq5w8v https://t.co/XObV…
66,1052990000000000000.00,RT @AnyTots: #AD: Free $100 @BestBuy gift card w/ pre-order &amp; qualified activation of the new @Google Pixel 3 or Pixel 3 XL for Verizon. Pl…
67,1052990000000000000.00,"@JakeWharton Didn't notice the clock is on the left until you mentioned it. It seems a change on Pie, not a pixel 3… https://t.co/nUI1RE5O44"
68,1052990000000000000.00,RT @news_rule: Google Launches Pixel 3 Smartphones and Pixel Slate Tablet - https://t.co/ARIR2NUGA3 https://t.co/Tx1WWo8pdQ
69,1052990000000000000.00,Google Pixel 3 and Speck bundle international giveaway @androidauth #giveaway https://t.co/GJ3PC1FecN
